id,title,abstract,agent1-rater1,agent1-rater2,agent1-rater3,agent2-rater1,agent2-rater2,agent2-rater3,agent3-rater1,agent3-rater2,agent3-rater3,reviewer1,reviewer2,gold standard
#118,Alternative treatments for adults with attention-deficit hyperactivity disorder (ADHD),"A previous review of alternative treatments (Tx) of ADHD--those other than psychoactive medication and behavioral/psychosocial Tx--was supplemented with an additional literature search focused on adults with ADHD. Twenty-four alternative Tx were identified, ranging in scientific documentation from discrediting controlled studies through mere hypotheses to positive controlled double-blind clinical trials. Many of them are applicable only to a specific subgroup. Although oligoantigenic (few-foods) diets have convincing double-blind evidence of efficacy for a properly selected subgroup of children, they do not appear promising for adults. Enzyme-potentiated desensitization, relaxation/EMG biofeedback, and deleading also have controlled evidence of efficacy. Iron supplementation, magnesium supplementation, Chinese herbals, EEG biofeedback, massage, meditation, mirror feedback, channel-specific perceptual training, and vestibular stimulation all have promising prospective pilot data, many of these tests reasonably controlled. Single-vitamin megadosage has some intriguing pilot trial data. Zinc supplementation is hypothetically supported by systematic case-control data, but no systematic clinical trial. Laser acupuncture has promising unpublished pilot data and may be more applicable to adults than children. Essential fatty acid supplementation has promising systematic case-control data, but clinical trials are equivocal. RDA vitamin supplementation, non-Chinese herbals, homeopathic remedies, and antifungal therapy have no systematic data in ADHD. Megadose multivitamin combinations are probably ineffective for most patients and are possibly dangerous. Simple sugar restriction seems ineffective. Amino acid supplementation is mildly effective in the short term, but not beyond 2-3 months. Thyroid treatment is effective in the presence of documented thyroid abnormality. Some alternative Tx of ADHD are effective or probably effective, but mainly for certain patients. In some cases, they are the Tx of choice, and initial evaluation should consider the relevant etiologies. A few have failed to prove effective in controlled trials. Most need research to determine whether they are effective and/or to define the applicable subgroup. Some of them, although not safer than standard Tx, may be preferable for an etiologic subgroup.",No,No,No,No,No,No,No,No,No,No,No,No
#131,Effect of P6 acupressure on postoperative vomiting in children undergoing outpatient strabismus correction,"A prospective, double-blind study was conducted to compare the effect of pressure at the P6 (Neikuan) point with placebo as an antiemetic in children. Sixty-six patients, ages 3-12 yr, undergoing outpatient surgery for correction of strabismus, were allocated randomly to receive either bilateral P6 acupressure or placebo during the perioperative period. The study was designed to detect a 50% difference in the incidence of postoperative vomiting between the two groups, with a 90% power of achieving a statistically significant result at the 5% level (two-tailed). The incidence of postoperative vomiting for the placebo group was 58% before discharge from hospital, 73% at home and 82% in the first 24 h after surgery. The corresponding results for the acupressure group were 58% before discharge, 71% at home and 94% in the first 24 h. These differences were not significant; P6 acupressure did not reduce the incidence of postoperative vomiting in children undergoing strabismus surgery.",No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
#137,Trial results make case for using acupuncture in pain relief,A randomised trial of 300 emergency department (ED) patients' responses to titrated morphine or a half-hour acupuncture session was carried out.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
#141,Lumbar epidural injections in the treatment of sciatica,"A randomized trial of lumbar epidural injections for the treatment of acute sciatic pain was carried out. All the patients had unilateral sciatica for less than six months and had never previously been treated in hospital for their backs. The treatments used were 20 ml normal saline, 80 mg Depomedrone in normal saline made up to 20 ml, 20 ml, 20 ml 0.25% bupivacaine solution and needling with a standard Touhy injection needle into the interspinous ligament but with no injection. The patients improved at about the same rate for all four treatments. Overall, 75% of the patients improved or were cured. As some of these were in the group treated by needling of the interspinous ligament, it seems likely that the epidural injections administered achieved effects partially as a placebo and partially by virtue of the natural history of the acute sciatic syndrome.",No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
#153,Unraveling the variability and geoclimatic drivers of daily precipitation concentration over a Western Himalayan Province of India,"A sound understanding of daily precipitation concentration provides critical insights about extreme precipitation and associated hazards such as rainstorms, flash floods, cloud bursts, and soil erosion. Therefore, this study examines the spatiotemporal variability and geoclimatic drivers of daily precipitation concentration using the concentration index (CI), precipitation concentration degree (PCD), Q Index (QI), and Theil index (TI) over a Western Himalayan Province, namely Himachal Pradesh, India. For this, the daily precipitation data pertaining to 111 grids (0.25° × 0.25° resolution), encompassing entire province, have been downloaded from India Meteorological Department (IMD), Pune, for the period 1951 to 2020. The trends in concentration indices have been detected using Mann-Kendall (MK) and Sen's slope methods, whereas their relationship with geoclimatic drivers have been assessed using Pearson's correlation coefficient (physiographic) and random forest regression model (climatic) at annual and monsoon season time scales. The results have revealed a high correlation between CI-TI (> 0.95), followed by QI-TI (> 0.84), QI-PCD (> 0.80), TI-PCD (> 0.78), QI-CI (> 0.65), and CI-PCD (> 0.60), representing nearly similar precipitation concentration distribution. Among the concentration indices, QI has shown maximum sensitivity to long-term changes followed by TI, CI, and PCD at both time scales. Similarly, physiographic factors have maximum effect on QI, showing its greatest sensitivity to latitude, longitude and elevation. While considering the impact of climatic drivers, Atlantic Meridian Oscillation (AMO) and Sunspot activity have exerted maximum influence on annual variability of CI, PCD, QI, and TI, whereas monsoon variability of these indices has been modulated by Pacific Decadal Oscillation (PDO), especially over northern parts of Himachal Pradesh. These findings will assist soil and water resource managers, disaster executives, agricultural stakeholders, and urban planners in understanding the unexplored aspects of daily precipitation concentration and making informed decisions over the mountainous regions of western Himalaya.",No,No,No,No,No,No,No,No,No,No,No,No
#164,Perceptions of interprofessional education and practice within a complementary and alternative medicine institution,"A survey of the constituents of a complementary and alternative medicine (CAM) institution was conducted to identify perceptions of interprofessional education (IPE) and practice (IPP). A 22 question survey was developed and administered to: chiropractic students, acupuncture and oriental medicine students, faculty and alumni of both professions, staff and administrators. The majority of the 321 respondents demonstrated positive perceptions of IPE and IPP, however many reported a lack of understanding of the distinct roles of select healthcare professions. The study also suggested that the campus community is not homogenous in its understanding of CAM or allopathic professions, or is it homogenous in its understanding of IPE and IPP. While the overall positive attitudes toward IPE and IPP imply a willingness to improve collaboration between these groups, the lack of understanding of profession-specific roles must be addressed to support effective implementation of IPE.",No,No,No,No,No,No,No,No,No,No,No,No
#166,A systematic review and meta-analysis of clinical trials on physical interventions for lateral epicondylalgia,"A systematic review of the literature on the effectiveness of physical interventions for lateral epicondylalgia (tennis elbow) was carried out. Seventy six randomised controlled trials were identified, 28 of which satisfied the minimum criteria for meta-analysis. The evidence suggests that extracorporeal shock wave therapy is not beneficial in the treatment of tennis elbow. There is a lack of evidence for the long term benefit of physical interventions in general. However, further research with long term follow up into manipulation and exercise as treatments is indicated.",No,No,No,No,No,No,No,No,No,No,No,No
#181,Complementary and alternative medicine approaches to blood pressure reduction: An evidence-based review,"ABSTRACTOBJECTIVETo review the evidence supporting complementary and alternative medicine approaches used in the treatment of hypertension.QUALITY OF EVIDENCEMEDLINE and EMBASE were searched from January 1966 to May 2008 combining the key words hypertension or blood pressure with acupuncture, chocolate, cocoa, coenzyme Q10, ubiquinone, melatonin, vitamin D, meditation, and stress reduction. Clinical trials, prospective studies, and relevant references were included.MAIN MESSAGEEvidence from systematic reviews supports the blood pressure-lowering effects of coenzyme Q10, polyphenol-rich dark chocolate, Qigong, slow breathing, and transcendental meditation. Vitamin D deficiency is associated with hypertension and cardiovascular risk; supplementation lowered blood pressure in 2 trials. Acupuncture reduced blood pressure in 3 trials; in 1 of these it was no better than an invasive placebo. Melatonin was effective in 2 small trials, but caution is warranted in patients taking pharmacotherapy.CONCLUSIONSeveral complementary and alternative medicine therapies can be considered as part of an evidence-based approach to the treatment of hypertension. The potential benefit of these interventions warrants further research using cardiovascular outcomes.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
#207,The effectiveness of acupressure on relieving pain: a systematic review,"Acupressure is a complementary treatment that uses fingers and hands to stimulate acupoints and maintains the balance of energy. The objective of this study was to review the application of acupressure in managing different pains and the effectiveness of acupressure on relieving pain in various settings. A systematic review of English articles using the databases of MEDLINE, PubMed, and Cumulative Index to Nursing and Allied Health Literature (CINAHL) was performed using the search terms of ""acupressure"" and ""pain."" Studies during which acupressure was applied as an intervention and assessed for its effectiveness on relieving pain were selected. The studies selected were those published from January 1, 1996 to December 31, 2011 that met the inclusion and exclusion criteria. The participants included patients with dysmenorrhea, labor pain, low back pain, chronic headache, and other traumatic pains. The Oxford 2011 Levels of Evidence was used to appraise the literature. Fifteen studies were extracted for reducing dysmenorrhea (menstrual distress), labor pain, low back pain, chronic headache, and other traumatic pain. These papers were further reviewed for their study design, adequacy of randomization and concealment of allocation, blinding of participants, interventions, and outcome measurements. Acupressure has been shown to be effective for relieving a variety of pains in different populations. The review begins to establish a credible evidence base for the use of acupressure in pain relief. The implication for health care providers would be incorporating acupressure into their practice as an alternative therapy to facilitate patients who suffer from pain.",No,No,No,No,No,No,No,No,No,No,No,No
#208,Acupressure reduces agitated behaviour in people with dementia,Acupressure is a kind of massage that originates in China. The treatment involves the stimulation of certain acupoints by pressing with the fingers or slowly moving limbs or joints. Previous studies have shown that this treatment shows subjective evidence of improved cognition and reduced agitated behaviour in people with dementia. The aim of this study was to see if objective measures of improvement could be made. Participants received four weeks of acupressure treatment and control groups had the same period of visits and conversation. Acupressure was carried out twice daily and took 15 minutes. The acupressure group showed a significant decline in agitated and aggressive behaviour.,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
#214,Two Distinct Neural Mechanisms Underlying Acupuncture Analgesia,"Acupuncture analgesia is a traditional treatment with a long history, although it lacks scientific evidence. It is reportedly associated with the central nervous system, including various brain regions, from the cortices to the brain stem. However, it remains unclear whether the distributed regions behave as a single unit or consist of multiple sub-units playing different roles. Magnetoencephalography is a neuroimaging technique that can measure the oscillatory frequency of neural signals and brain regions. The frequency band of neural signals allows further understanding of the characteristics of the acupuncture-related neural systems. This study measured resting-state brain activity using magnetoencephalography in 21 individuals with chronic pain before and after acupuncture treatment. The subjective level of pain was assessed using a visual analog scale, and brain activity was compared to identify the brain regions and the frequencies associated with acupuncture analgesia. Here, we categorized the changes in resting-state brain activity into two groups: low-frequency oscillatory activity (<3 Hz) in the left middle occipital and right superior partial lobule and high-frequency oscillatory activity (81-120 Hz) on both sides of the prefrontal, primary sensory, and right fusiform gyri. These findings suggest that acupuncture analgesia influences two or more sub-units of the neural systems, which helps us understand the neural mechanisms underlying acupuncture analgesia.",Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No
#216,Acupuncture/acupressure for weight reduction? A systematic review,"Acupuncture and acupressure are often advocated and used as a means of controlling appetite and reducing body weight, supported by case-series and uncontrolled studies that show encouraging results. This paper reviews placebo/sham-controlled clinical trials published on this topic. Two independent literature searches identified four such studies. None of these is without significant methodological flaws and their results are contradictory. The two relatively rigorous trials show no effect on body weight. On balance, no clear picture emerges to show that acupuncture/acupressure is effective in reducing appetite or body weight. Claims that these forms of treatment have specific effects on these conditions are therefore not based on well-performed clinical trials.",Yes,No,No,No,No,No,No,No,No,No,No,No
#225,Genome-Wide Regulation of Acupuncture and Moxibustion on Ulcerative Colitis Rats,"Acupuncture and moxibustion have definite clinical effects on treating ulcerative colitis (UC), but their mechanism is still unclear. To investigate the molecular mechanisms, we applied herb-partitioned moxibustion or electroacupuncture at the Tianshu (ST25) points on UC rats and used RNA sequencing to identify molecular consequences. Male Sprague Dawley (SD) rats were divided into 6 groups randomly: the normal control (NC) group, the control + herb-partitioned moxibustion (NCHM) group, the control + electroacupuncture (NCEA) group, the model (UC) group, the model + herb-partitioned moxibustion (UCHM) group, and the model + electroacupuncture (UCEA) group. Compared to the UC group, HE staining in the UCHM group and UCEA group indicated that colitis was relieved, the histopathological score and MPO were both significantly reduced, and the serum hs-CRP concentration was decreased significantly. The results of RNA-seq suggested that, compared to the NC group, 206 upregulated genes and 167 downregulated genes were identified in colon tissues from the UC group; compared to the UC group, the expression levels of some genes were both affected in the UCHM group and the UCEA group (684 differentially expressed genes were identified in the UCHM group, and 1182 differentially expressed genes were identified in the UCEA group). KEGG signal pathway analysis indicated that the differentially expressed genes in the UCHM group were associated with the JAK-STAT signaling pathway and cell adhesion molecule (CAM); the differentially expressed genes in the UCEA group were associated with the NF-κB signaling pathway, the toll-like receptor signaling pathways, the PI3K-Akt signaling pathway, the MAPK signaling pathway, and the Wnt signaling pathway. This is the first study to reveal the gene expression characteristics of the anti-inflammatory effect of UC rats from the perspective of acupuncture and moxibustion control, which provide a clue for further investigation into the molecular mechanisms of UC treatment by acupuncture and moxibustion.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
#228,Effect of Acupuncture on Timeliness of Male Shoulder Joint Endurance,"Acupuncture as a traditional and commonly used treatment has been used to improve the performance of athletes. In the improvement of female shoulder joint explosive force and muscle endurance also has an immediate effect. However, whether the effect of acupuncture therapy can be maintained after improving athletic performance still worth further discussion. The purpose of this study was to explore the timeless of the physical neurophysiological response induced by acupuncture at specific acupoints in improving endurance performance. Seventeen healthy male participants completed six groups of shoulder joint isokinetic exercises. The isokinetic exercise completed in the first group was taken as the baseline. After acupuncture for 15 min, the following 5 isokinetic experiments were completed. Acupuncture acupoints included Binao (LI14), Jianliao (SJ14), Naohui (SJ13), Zhongfu (LU1), Xiabai (LU4), Tianfu (LU3) and Xiaoluo (SJ12). The results show that acupuncture can improve physical performance for 10-20 min. After acupuncture, the maximum torque, average power, average work and total work values significantly increased (p < 0.05). Stimulation of acupoints can effectively improve the performance of periarticular muscle endurance around the shoulder, but this improvement is limited by time.",Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No
#258,Spotlight on acupuncture in laboratory animal medicine,"Acupuncture has been practiced for thousands of years, although it is only in the past century that science has worked to unravel the mechanisms behind its use. Literature supporting the efficacious use of acupuncture to treat a variety of conditions has been and continues to be published, including the randomized controlled studies we all appreciate when practicing evidence-based medicine. The use of acupuncture in veterinary medicine has paralleled the trends observed in people, with an increasingly common use to remedy specific medical conditions. These conditions are commonly related to neurological dysfunction or orthopedic pain. Although pain relief is the most common use of acupuncture, numerous other conditions have been shown to improve with this therapy. Laboratory animals are also benefiting from acupuncture. Its use is starting to be incorporated into research settings, although there is still further progress to be made in this field. Acupuncture has been shown to improve clinical conditions and quality of life in laboratory animals, and should be considered as a tool to treat laboratory animals with conditions known to benefit from therapy. Here we review the history, mechanisms of action, and use of acupuncture to treat veterinary patients and laboratory animals.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
#263,Effects of electroacupuncture on intraoperative and postoperative analgesic requirement,"Acupuncture has been shown to be effective in experimental and clinical acute pain settings. This study aims to evaluate the effect of preoperative electroacupuncture (EA) on intraoperative and postoperative analgesic (alfentanil and morphine) requirement in patients scheduled for gynaecologic lower abdominal surgery. Ninety patients were randomly assigned to one of three groups: Group I (control group)--received placebo EA for 45 minutes before induction of general anaesthesia (GA); Group II--preoperative EA instituted 45 minutes before induction of GA; Group III--45 minutes of postoperative EA. The Bispectral Index monitor was used intraoperatively to monitor the hypnotic effect of anaesthetic drugs, and alfentanil was titrated to maintain the blood pressure and pulse rate within +/- 15% of basal values. Postoperative pain was managed by intravenous morphine via a patient-controlled analgesia (PCA) device. Patients in Group II (0.44 +/- .15microg/kg/min) received less alfentanil than those in Group III (0.58 +/- .22 microg/kg/min) (p = p.024), but not significantly less than those in Group I 10.51 +/- 0.21 microg/kg/min) (p = 0.472). Postoperative morphine consumption was numerically lower in Group II compared with the other groups; however, the difference was statistically significant only during the period of 6-12 hours between Group II [0.03 (0.05) mg/kg] and Group I [0.10 (0.11) mg/kg] (p = 0.015), and Group II and Group III [0.08 (0.10) mg/kg] (p = 0.010). The 24-hour cumulative morphine consumption for Group II (0.52 +/- .19mg/kg) was less than that for either Group I I0.68 +/- 38mg/kg) or Group III (0.58 +/- .27mg/kg), but the difference did not reach significance. In conclusion, preoperative EA leads to a reduced intraoperative alfentanil consumption, though this effect may not be specific, and has a morphine sparing effect during the early postoperative period.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
#284,Clinical Study on the Application of Acupuncture in the Postoperative Rehabilitation of Dogs Affected by Acute Thoracolumbar Disc Herniation,"Acupuncture has been widely incorporated into rehabilitation protocols for dogs and cats because of its potential analgesic efficacy. The aim of this study was to evaluate the potential positive effect of integrating acupuncture and electroacupuncture techniques on the recovery of ambulation capacity in non-ambulating paraparetic patients undergoing physiotherapy in the postoperative period following mini-/hemilaminectomy for thoracolumbar spinal cord decompression due to acute disc extrusion. Forty-one patients were included and underwent descriptive and analytical statistical analysis, divided into two groups: dogs that received a physiotherapy protocol with acupuncture and dogs that received physiotherapy only. The results showed that the dogs in the acupuncture group had a higher likelihood of regaining ambulation.",Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
#298,Effects of Electroacupuncture on Facial Nerve Function and HSV-1 DNA Quantity in HSV-1 Induced Facial Nerve Palsy Mice,"Acupuncture is a common and effective therapeutic method to treat facial nerve palsy (FNP). However, its underlying mechanism remains unclear. This study was aimed to investigate the effects of electroacupuncture on symptoms and content of HSV-1 DNA in FNP mice. Mice were randomized into four groups, an electroacupuncture treatment group, saline group, model animal group, and blank control group. Electroacupuncture was applied at Jiache (ST6) and Hegu (LI4) in electroacupuncture group once daily for 14 days, while electroacupuncture was not applied in model animal group. In electroacupuncture group, mice recovered more rapidly and HSV-1 DNA content also decreased more rapidly, compared with model animal group. We conclude that electroacupuncture is effective to alleviate symptoms and promote the reduction of HSV-1 in FNP.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
#309,[Acupuncture in pain therapy: current concepts],"Acupuncture is a technique that was originally developed in ancient Chinese culture. One of the most important areas of use is in pain treatment. Many scientific publications have tried to prove the efficacy of acupuncture and have tried to determine the possible mechanisms of action. It has been shown that stimulation by acupuncture, mechanically or electrically, stimulates certain endocrine control mechanisms, which cause the release of morphine like substances. These endocrine controls are not only stimulated by acupuncture, but also are activated by other pain fighting techniques that utilize peripheral stimulation. Even if experimental studies could prove the effects of acupuncture, it is still difficult for scientists to accept the Chinese theory. Until now, nobody could determine the exact nature of the points and circles of acupuncture. The precise location of the points does not seem to be a requirement for the analgesic effects. The analysis of referred pain made it possible to confirm the anatomical and functional bases of acupuncture points and circles. Many authors have found good external agreement between points of pain and acupuncture points and have found agreement between the Chinese circles and radicular and pseudoradicular pain areas. With respect to the interpretation of the results of controlled clinical studies, it was difficult to determine the criteria for placebo. The criteria used depends on which acupuncture model is used. In the traditional model, any use of the needle at a different point from the Chinese point is called placebo. In the neurophysiological model, it seems that the method of stimulation, mechanical or electrical, makes the difference. This hypothesis has been confirmed by analysing all past clinical studies.(ABSTRACT TRUNCATED AT 250 WORDS)",Yes,No,Yes,No,No,No,No,No,No,No,No,No
