id,title,abstract
#473,Acupuncture conversion of fetal breech presentation,"AIM: The aim of this study was to assess the value of acupuncture (AP) in the conversion of fetal breech presentation into vertex presentation. PATIENTS AND METHODS: A randomized prospective controlled clinical study included 67 pregnant women with fetal breech presentation: 34 women with singleton pregnancies treated with manual AP (urinary bladder 67, Zhiyin) and a control group which included 33 women with singleton pregnancies without AP treatment. The AP treatment lasted 30 min a day, and was conducted during and after 34 weeks of pregnancy with simultaneous cardiotocography. RESULTS: The success rate of the AP correction of fetal breech presentation is 76.4% (26 women), and spontaneous conversion without AP in vertex presentation is observed in 15 women (45.4%; p<0.001). CONCLUSIONS: We believe that AP correction of fetal malpresentation is a relatively simple, efficacious and inexpensive method associated with a lower percentage of operatively completed deliveries, which definitely reflects in improved parameters of vital and perinatal statistics."
#539,A self-made disposable iris retractor in small pupil phacoemulsification,"AIM: To explore a simple and low-cost self-made disposable flexible iris retractor and study its clinical efficacy and safety in small pupil phacoemulsification. METHODS: Polyproplyene suture and scalp acupuncture were used to make iris retractor. A prospective study were carried on 50 patients (50 eyes) with a maximally dilated pupil size of 2.5-4.0 mm which underwent phacoemulsification using this self-made iris retractor. Another 50 cases of phacoemulsification with normal pupil size sever as control group. The mean operation time, ultrasound time and ultrasonic power, volume of irrigation fluid were documented intraoperatively. The visual acuity, pupil size and complication were observed on 1d, 1wk, 1mo and 1y after operation. Corneal endothelial cell was measured at 1mo postoperatively. RESULT: Pupils could be expanded to approximately 4.5-5.5 mm with our self-made iris retractor in operation. No serious postoperative complication was found. Most (88%) of the pupils returned round or oval shape, light reflex restored to varying degrees at the first day after surgery. Best corrected visual acuity stabilized in 37 eyes (74%) at one day, in 43 eyes (86%) at one week, in 44 eyes (88%) at one month and 46 eyes (92%) at one year. Compared with the control, more time was needed to complete the operation in the small pupil group. There was no significant difference of the mean ultrasound time, ultrasonic power, volume of irrigation fluid required and corneal endothelial cell loss in 1mo follow up between the two groups. CONCLUSION: Our self-made disposable flexible iris retractor could be easy obtained preoperatively or intraoperatively. It performed both safety and efficacy in our clinical trials. This simple self-made device has shown economic and practical values, especially in primary care hospital of the less developed districts."
#555,Correlation between corneal biomechanical and tomographic parameters in cataract patients,"AIM: To investigate the relationship between preoperative corneal biomechanical properties and corneal tomographic properties in cataract patients. METHODS: The study consisted of 59 eyes of 30 participants who were diagnosed as cataract in Peking University Third Hospital between September 2019 and November 2019. Stepwise multivariable linear regression analysis was calculated to determine the relationship between corneal biomechanical parameters and tomographic parameters. The patients were classified into three groups of with the rule (WTR) astigmatism, against the rule astigmatism and oblique astigmatism. And the differences in corneal parameters among different groups were compared. RESULTS: There were significant differences in the first applanation time (A1T), the first applanation length (A1L), corneal velocity during the first applanation (Vin), the second applanation time (A2T), highest concavity (HC) radius, displacement amount (DA), DA ratio, stiffness parameter A1 (SPA1) and integrated radius (IR) between oblique astigmatism patients and the other two groups. Total corneal steep meridian (K2) was negatively associated with A1L, A1T and corneal velocity during the second applanation (Vout). Patients with higher anterior corneal curvature had lower HC radius and central corneal thickness (CCT; P=0.001 and 0.006, respectively), while the Ambrosio relational thickness to the horizontal profile (ARTh) was higher than those with lower anterior corneal curvature (P=0.009). CONCLUSION: The study reveals that the elasticity of corneal collagen fibers is greater, but the viscoelasticity of cornea is smaller in patients with oblique astigmatism. There is no significant difference in ARTh between patients with different types of astigmatism, that is, the corneal biomechanical specificity of oblique astigmatism group is probably not caused by corneal thickness. Moreover, we find patients with higher anterior corneal curvature has lower HC radius and CCT but higher ARTh than those with lower anterior corneal curvature."
#564,"Transcutaneous electrical cranial-auricular acupoint stimulation versus escitalopram for mild-to-moderate depression: An assessor-blinded, randomized, non-inferiority trial","AIM: Transcutaneous electrical cranial-auricular acupoint stimulation (TECAS) is a novel non-invasive therapy that stimulates acupoints innervated by the trigeminal and auricular vagus nerves. An assessor-blinded, randomized, non-inferiority trial was designed to compare the efficacy of TECAS and escitalopram in mild-to-moderate major depressive disorder. METHODS: 468 participants received two TECAS sessions per day at home (n = 233) or approximately 10-13 mg/day escitalopram (n = 235) for 8 weeks plus 4-week follow-up. The primary outcome was clinical response, defined as a baseline-to-endpoint ≥50% reduction in Montgomery-Åsberg Depression Rating Scale (MADRS) score. Secondary outcomes included remission rate, changes in the severity of depression, anxiety, sleep and life quality. RESULTS: The response rate was 66.4% on TECAS and 63.2% on escitalopram with a 3.2% difference (95% confidence interval [CI], -5.9% to 12.9%) in intention-to-treat analysis, and 68.5% versus 66.2% with a 2.3% difference (95% CI, -6.9% to 11.4%) in per-protocol analysis. The lower limit of 95% CI of the differences fell within the prespecified non-inferiority margin of -10% (P ≤ 0.004 for non-inferiority). Most secondary outcomes did not differ between the two groups. TECAS-treated participants who experienced psychological trauma displayed a markedly greater response than those without traumatic experience (81.3% vs 62.1%, P = 0.013). TECAS caused much fewer adverse events than escitalopram. CONCLUSIONS: TECAS was comparable to escitalopram in improving depression and related symptoms, with high acceptability, better safety profile, and particular efficacy in reducing trauma-associated depression. It could serve an effective portable therapy for mild-to-moderate depression."
#618,Smoke or smokeless moxibustion treatment for breech presentation: A three-arm pilot trial,"AIMS: We conducted a pilot trial to compare the effects of smoke and smokeless moxibustion with a control as a possible supplement to external cephalic version (ECV) for converting breech to cephalic presentation and increasing adherence to cephalic position, and to assess their effects on the well-being of the mother and child. METHODS: We used a quasi-experimental design with 3 arms: a smoke moxibustion (SM) (n = 20) and smokeless moxibustion (SLM) (n = 20) groups (20-min acupoint BL67 stimulation once or twice daily for 10-14 days), and a control group (n = 20). The participants had singleton breech presentations between 33 and 35 gestation weeks. The primary outcome was cephalic presentation at the conclusion of intervention. The secondary outcomes were cephalic presentation at birth and effects on mother and child well-being. RESULTS: At the conclusion of intervention, cephalic presentation was higher in the SLM (60.0%) than the control groups (25.0%), Relative Risk 2.40, 95% Confidence Interval [1.04-5.56]; there was no significant difference for SM. At birth, there were no significant differences in cephalic presentation or well-being. CONCLUSION: SLM treatment showed an increasing trend towards cephalic presentation at the conclusion of intervention. Although significant differences were not observed at birth possibly due to the small samples and non-randomization, moxibustion was safe, and not associated with perinatal morbidity and mortality. A randomized controlled trial with a larger sample is warranted to ascertain SLM treatment as a possible ECV supplement for converting and increasing adherence to cephalic position."
#682,Study of Scraping with Copper Stone Based on Theory of Midnight-Noon Ebb-Flow in Angina Pectoris with Coronary Heart Disease of Qi Stagnation and Blood Stasis,"Angina pectoris (AP) with coronary heart disease (CHD) is one of the common cardiovascular diseases in clinical practice, which can be classified as ""chest paralysis"" in Chinese medicine according to its symptoms, and it is described in many ancient documents. Ancient Chinese medicine believes that the main pathogenesis of the disease is poor blood flow leading to paralysis of the heart and veins, so it is often treated by activating blood and removing blood stasis. In this study, 120 patients with AP of CHD of Qi stagnation and blood stasis type were randomly divided into the observation (n = 60) and the control group (n = 60). In the control group, basic care, conventional treatment, and unselected copper acupuncture scraping were used, while in the observation group, copper acupuncture scraping was performed at the right time of the heart meridian (11 : 00-13 : 00) on the basis of the control group, and all patients received the treatment for a total duration of 4 weeks. We collected data on the traditional Chinese medical (TCM) syndrome score, frequency and duration of angina attacks, nitroglycerin dosage, inflammatory factor levels, and hematological indices pretreatment and posttreatment in both groups. Patients' adverse effects during treatment were recorded, and the clinical efficacy and ECG efficacy in both groups were evaluated after 4 weeks. We used SPSS.20 statistical software to statistically analyze the above data, and the results showed that the clinical efficacy and ECG efficacy of the observation group were significantly higher than the control group posttreatment. After treatment, the TCM symptom score, angina attack frequency, attack duration and nitroglycerin dosage, serum interleukin-8 (IL-8), hypersensitive C-reactive protein (hs-CRP), and tumor necrosis factor-α (TNF-α) levels, whole blood viscosity (WBV), plasma viscosity (PV), fibrinogen (FIB), and hematocrit (Hct) were significantly lower in both groups compared with those posttreatment. And the observation group showed a greater decrease when compared with the control group. The results also showed that the overall incidence of adverse reactions was lower in both groups during the treatment period. The above results indicate that while ensuring high safety, the copper stone based on theory of midnight-noon ebb-flow can more effectively improve the symptoms and inflammatory response of the body and reduce the viscosity of the blood in AP with CHD of Qi stagnation and blood stasis, and it has better therapeutic effects."
#686,Dietary β-Glucan Alleviates Antibiotic-Associated Side Effects by Increasing the Levels of Antioxidant Enzyme Activities and Modifying Intestinal Microbiota in Pacific White Shrimp (Litopenaeus vannamei),"Antibiotics and their secondary metabolites are commonly found in aquatic ecosystems, leading to the passive exposure of many aquatic animals to low doses of antibiotics, which can affect their health. However, there is limited information available on how to mitigate the side effects of antibiotics on normal aquatic animals. This study aimed to investigate the potential of dietary β-glucan to alleviate the side effects induced by antibiotics in Pacific white shrimp (Litopenaeus vannamei) (0.37 ± 0.02 g). A six-week feeding trial was conducted with four dietary treatments including a control, 1 g/kg β-glucan (β-glucan), 50 mg/kg oxytetracycline (OTC), and a combination of 50 mg/kg OTC and 1 g/kg β-glucan (Mix) groups. At the end of the trial, the growth performance, intestinal microbial composition, antioxidant capacity, and immune response of the shrimp were assessed. There were no significant differences in growth performance among the groups, but the condition factor of the shrimp in the Mix group was significantly decreased when compared to the control and β-glucan groups. The activities of hepatopancreas catalase (CAT) and serum phenol oxidase in the OTC group were significantly lower than those in the control group. On the other hand, the activities of hepatopancreas superoxide dismutase and CAT enzymes in the β-glucan group were significantly higher than those in the OTC group. The supplementation of β-glucan in combination with antibiotics significantly increased the CAT activity and bacteriolytic activity compared to the OTC and control groups, respectively. Moreover, an analysis of the intestinal microbiota revealed that the Observed_species estimator in the Mix group was significantly higher than that in the control group. Dietary antibiotics significantly increased the abundance of Actinobacteria at the phylum level, but the Mix group showed no significant difference. The supplementation of β-glucan in combination with antibiotics also significantly increased the relative abundance of Meridianimaribacter compared to the control group. Additionally, the synergistic influence of β-glucan with antibiotics increased the beta diversity of intestinal microbiotas. These findings suggest that the supplementation of β-glucan in combination with antibiotics on Pacific white shrimp can alleviate the low antioxidant capacity and immune response caused by antibiotics while enhancing the intestinal microbial composition. This provides a potential solution to mitigate the negative impacts of antibiotics in aquaculture."
#710,Efficacy and safety of acupuncture in the treatment of depression: A systematic review of clinical research,"As a common mental disorder, depression is one of the leading causes of disability around the world. Clinical studies have shown that acupuncture is an effective therapy without obvious side effects compared to limited efficacy and adverse reactions of drug therapy, cognitive behavioral therapy, and neuromodulation technology in treating depression. The objective of this review is to systematically evaluate whether acupuncture therapies for depression are safe and effective in order to provide a high-quality reference for clinical trials of acupuncture. A systematic search of the literature was carried out through bibliographic search engine PubMed. Subsequently, the study design, intervention methods, control group, results, and safety of acupuncture were analyzed. The results showed that acupuncture as an adjunct to antidepressants or as a single treatment can exert a positive impact on patients' depressive symptoms. Compared with antidepressants, acupuncture has the advantages of fast onset and long-term efficacy in the treatment of depression, and can enhance the efficacy of antidepressants. Moreover, the efficacy and safety of acupuncture in the treatment of depression maybe related to the qualification of the acupuncturist, the selection of acupoints, and intervention measures."
#712,Improvement of Acupuncture Based on Smart Medical Care for Post-Stroke Hemiplegic Shoulder Pain and Upper Limb Motor Function,"As a new stage in the development of medicine and health, smart medicine has attracted attention from all parties in recent years. Especially, under the impetus of the Internet, due to the development of new technologies, smart medical care has made considerable progress, and it has also brought us new challenges. The concept, hypothesis, and design of intelligent medical care are analyzed, and the design objects and design principles of intelligent medical care are highlighted. In Africa, 79 patients with shoulder pain after stroke and hemiplegia in the recession period were disintegrated and divided into observation group (40 people) and control group (39 people). The observation group and the control group used two different treatment methods, acupuncture treatment and traditional western medicine treatment. Finally, the situation of the two groups is checked. From the results, the treatment effect of the control group was not as good as that of the observation group (P < 0.05). After treatment, the effects of capillary disease and patients' living conditions in the observation group were better than those in the control group (P < 0.05). It is concluded that the therapeutic effect of wisdom acupuncture treatment has a certain effect and can be used in medical treatment."
#755,Research status and prospects of acupuncture for autism spectrum disorders,"Autism spectrum disorder (ASD) is a neurodevelopmental disorder and has a predilection for children. Its symptoms, such as lifelong social communication deficits and repetitive sensory-motor behaviors, put a huge burden on the patient's family and society. Currently, there is no cure for ASD, and some medications that can improve its symptoms are often accompanied by adverse effects. Among many complementary and alternative medicine (CAM) therapies, acupuncture has shown promising application potential, but after years of practice, it has not been recognized as the preferred CAM therapy for ASD. Therefore, we analyzed and discussed the clinical study reports of acupuncture in the treatment of ASD in the past 15 years from the aspects of study subjects, group setting, intervention modalities, acupoint selection, outcome evaluation, and safety. The data accumulated at present are not sufficient to support the clinical effectiveness of acupuncture in ASD and to justify its use in clinical practice. They provide, however, initial evidence of possible effectiveness and encourage further investigation in order to reach firm conclusions. Based on a comprehensive analysis, we believed that following the Standards for Reporting Interventions in Clinical Trials of Acupuncture (STRICTA) and Consolidated Standards of Reporting Trials (CONSORT), screening the optimal combination of acupoints applying a rigorous scientific study design, and performing the related functional experiments may be the effective way to convincingly test the hypothesis that acupuncture may be beneficial in ASD patients. The significance of this review is to provide a reference for researchers to carry out high-quality clinical trials of acupuncture in the treatment of ASD from the perspective of the combination of modern medicine and traditional Chinese medicine."
#985,Pancoast Tumor Presenting as Neck Pain in the Chiropractic Office: A Case Report and Literature Review,"BACKGROUND Pancoast tumors, also called superior sulcus tumors, are a rare type of cancer affecting the lung apex. These tumors can spread to the brachial plexus and spine and present with symptoms that appear to be of musculoskeletal origin. CASE REPORT A 59-year-old Asian man presented to a chiropractor in Hong Kong with a 1-month history of neck and shoulder pain and numbness that had been treated unsuccessfully with exercise, medications, and acupuncture. He had an active history of tuberculosis, which was currently treated with antibiotics, and a 50-pack-year history of smoking. Cervical magnetic resonance imaging (MRI) was performed urgently, revealing a small cervical disc herniation thought to correspond with radicular symptoms. However, as the patient did not respond to a brief trial of care, a thoracic MRI was urgently ordered, revealing a large superior sulcus tumor invading the upper to mid-thoracic spine. The patient was referred for medical care and received radiotherapy and chemotherapy with a positive outcome. A literature review identified 6 previously published cases in which a patient presented to a chiropractor with an undiagnosed Pancoast tumor. All patients had shoulder, spine, and/or upper extremity pain. CONCLUSIONS Patients with a previously undiagnosed Pancoast tumor can present to chiropractors given that these tumors may invade the brachial plexus and spine, causing shoulder, spine, and/or upper extremity pain. Chiropractors should be aware of the clinical features and risk factors of Pancoast tumors to readily identify them and refer such patients for medical care."
